bias,positive,negative,sentiment
1.0,3015.0,55.0,1.0
1.0,3063.0,124.0,1.0
1.0,3231.0,181.0,1.0
1.0,444.0,135.0,1.0
1.0,1184.0,597.0,1.0
1.0,2851.0,3.0,1.0
1.0,346.0,265.0,1.0
1.0,1087.0,498.0,1.0
1.0,3429.0,343.0,1.0
1.0,2952.0,102.0,1.0
1.0,2865.0,19.0,1.0
1.0,1002.0,94.0,1.0
1.0,4603.0,697.0,1.0
1.0,900.0,281.0,1.0
1.0,2848.0,3.0,1.0
1.0,3045.0,176.0,1.0
1.0,1052.0,477.0,1.0
1.0,3095.0,206.0,1.0
1.0,3444.0,445.0,1.0
1.0,2955.0,97.0,1.0
1.0,3183.0,130.0,1.0
1.0,44.0,23.0,1.0
1.0,3024.0,79.0,1.0
1.0,319.0,245.0,1.0
1.0,3130.0,380.0,1.0
1.0,2984.0,27.0,1.0
1.0,3007.0,142.0,1.0
1.0,599.0,40.0,1.0
1.0,3138.0,405.0,1.0
1.0,3745.0,436.0,1.0
1.0,1.0,3664.0,0.0
1.0,2.0,3695.0,0.0
1.0,141.0,3799.0,0.0
1.0,367.0,4084.0,0.0
1.0,414.0,4461.0,0.0
1.0,214.0,4092.0,0.0
1.0,231.0,3922.0,0.0
1.0,100.0,3843.0,0.0
1.0,426.0,4243.0,0.0
1.0,31.0,3686.0,0.0
1.0,189.0,3860.0,0.0
1.0,8.0,3698.0,0.0
1.0,61.0,3767.0,0.0
1.0,350.0,4034.0,0.0
1.0,161.0,3888.0,0.0
1.0,141.0,3931.0,0.0
1.0,510.0,4197.0,0.0
1.0,456.0,4059.0,0.0
1.0,997.0,4763.0,0.0
1.0,91.0,3842.0,0.0
1.0,655.0,4551.0,0.0
1.0,7.0,3669.0,0.0
1.0,131.0,3778.0,0.0
1.0,402.0,4369.0,0.0
1.0,394.0,4107.0,0.0
1.0,204.0,3846.0,0.0
1.0,4.0,3664.0,0.0
1.0,387.0,619.0,0.0
1.0,166.0,3876.0,0.0
1.0,256.0,3806.0,0.0
1.0,63.0,3799.0,0.0
1.0,89.0,3810.0,0.0
1.0,195.0,3870.0,0.0
1.0,350.0,4078.0,0.0
1.0,231.0,3948.0,0.0
1.0,92.0,3848.0,0.0
1.0,158.0,3802.0,0.0
1.0,767.0,4309.0,0.0
1.0,101.0,3967.0,0.0
1.0,122.0,3852.0,0.0
1.0,140.0,4001.0,0.0
1.0,168.0,3843.0,0.0
1.0,298.0,3837.0,0.0
1.0,304.0,3926.0,0.0
1.0,768.0,1278.0,0.0
1.0,3.0,3671.0,0.0
1.0,341.0,3957.0,0.0
1.0,56.0,3725.0,0.0
1.0,17.0,617.0,0.0
1.0,127.0,3991.0,0.0
1.0,121.0,3951.0,0.0
1.0,2.0,3664.0,0.0
1.0,87.0,698.0,0.0
1.0,119.0,3729.0,0.0
1.0,63.0,618.0,0.0
1.0,120.0,184.0,0.0
1.0,522.0,4452.0,0.0
1.0,51.0,3735.0,0.0
1.0,6.0,3668.0,0.0
1.0,1495.0,5253.0,0.0
1.0,52.0,3739.0,0.0
1.0,1.0,3665.0,0.0
1.0,450.0,4046.0,0.0
1.0,61.0,3822.0,0.0
1.0,125.0,3847.0,0.0
1.0,151.0,3830.0,0.0
1.0,283.0,4066.0,0.0
1.0,730.0,4461.0,0.0
1.0,197.0,3921.0,0.0
1.0,27.0,3718.0,0.0
1.0,21.0,3698.0,0.0
1.0,120.0,11103.0,0.0
1.0,263.0,7637.0,0.0
1.0,18.0,3902.0,0.0
1.0,229.0,3949.0,0.0
1.0,14.0,3701.0,0.0
1.0,148.0,545.0,0.0
1.0,23.0,3698.0,0.0
1.0,225.0,4004.0,0.0
1.0,15.0,3684.0,0.0
1.0,13.0,3687.0,0.0
1.0,389.0,4250.0,0.0
1.0,281.0,711.0,0.0
1.0,433.0,4213.0,0.0
1.0,195.0,3910.0,0.0
1.0,689.0,4648.0,0.0
1.0,731.0,4330.0,0.0
1.0,324.0,717.0,0.0
1.0,171.0,4049.0,0.0
1.0,265.0,3969.0,0.0
1.0,500.0,482.0,0.0
1.0,919.0,4595.0,0.0
1.0,119.0,138.0,0.0
1.0,252.0,4043.0,0.0
1.0,31.0,3959.0,0.0
1.0,29.0,3706.0,0.0
1.0,62.0,323.0,0.0
1.0,144.0,783.0,0.0
1.0,205.0,3890.0,0.0
1.0,189.0,3974.0,0.0
